title,url,search,text,genre
still_grey_artic,memories/still_grey_artic.gif,automotive,2023- An old implementation of inpainting and car redrawing using Stable Diffusion. It paved the way to much more radical manipulations of vehicles.,anvil
JLR_new,memories/JLR_new.gif,automotive,2024- An implementation of dreambooth vehicles from CGI cad into a audience testing module. The full video shows how different content is tested using implicit bias analysis. ,anvil
ktp_new,memories/ktp_new.gif,LLM,"2024- An award video for winning the KTP (Knowledge Transfer Partnership) for Innovation, here we are showing how our APEX system allows for turning any significant dataset into a synthetic audience. The results are then published in a paper called Explainable Digital Creatives Performance Monitoring using Deep Feature Attribution.",apex
unreal_new,memories/unreal_new.gif,automotive,2024- A showcase of unreal engine's 24-bit depth 360 enviroments which can be used to automatically light CAD. We use this data to train highly detailed car models. ,anvil
cannes_new,memories/cannes_new.gif,automotive,"2023- An award video for the Cannes Lions awards. This showcases our Foundry system that enriches assets with an AI pipeline using LLM, Segmentation and Machine-Learning.",foundry
ezgif-5-303e5f4185,memories/ezgif-5-303e5f4185.gif,procedural,"2018- Early p5.js experimentation. I love anything that looks like weird machine interpretation, like ASCII. This isn't that, but it did look interesting.",random_viz
40JXFHk2iK,memories/40JXFHk2iK.gif,,"2019- A tretatry diagram of linguistically modelled client reviews grouped into sailient attributes by score. The tool is built in d3.js and the data processing is done using Python Gensim, NLTK and word2vec.",linguistic_modelling
Banners_HandlingPack_WaterExtroverts 1,memories/Banners_HandlingPack_WaterExtroverts 1.jpg,automotive,2025- An ad builder that pushes straight from AI generation into set templates and taglines. ,anvil
Picture12,memories/Picture12.png,,2024- A joking reimagining of the classic meme using img2img on flux to interate on composition. By testing weights and guidance scores we can achieve different levels of variation without losing the original image.,ai_stuff
image-(98),memories/image-(98).gif,automotive,2023- A car generation using stable diffusion 1.5 and dreambooth using 3d images of a vehicle. By using the style transfer you can effectively dial-in enviroments while keeping the vehicle represented correctly. ,anvil
ezgif.com-add-text,memories/ezgif.com-add-text.gif,,2013- Gephi of scrapped twitter data to show conversations growing over time. My attempt here was to capture the viral nature of how conversations propagate. ,linguistic_modelling
rl_1,memories/rl_1.gif,,"2023- Second generation try on modelling, incorporating different soft trained zero-shot models with a layer of fine tuning from client data. ",ai_stuff
XL_sidebyside,memories/XL_sidebyside.gif,automotive,"2024- Showing our transition from stable diffusion 1.5 to XL, incorporating a lot better volumetric lighting and atmospheric conditions and a much better IP-adapter. ",anvil
ezgif-1-08e45140b9,memories/ezgif-1-08e45140b9.gif,,"2017- A piece of work for an online magazine showing the rising house prices in the UK. The visualisation is done in d3.js choropleth, and the data is taken from government figures at an LAD (Local Authority District) level. ",mapping
act_black_desert,memories/act_black_desert.gif,automotive,2023- An old implementation of inpainting and car redrawing using Stable Diffusion. It paved the way to much more radical manipulations of vehicles.,anvil
ezgif.com-optimize (1),memories/ezgif.com-optimize (1).gif,,"2020- A video of our award-winning F1 AI system, designed to understand signage and camera activity during a race. ",f1
Screen Shot 2018-06-06 at 11.38.28,memories/Screen Shot 2018-06-06 at 11.38.28.png,,,
Picture1233-1,memories/Picture1233-1.gif,,,
ezgif.com-gif-maker copy 5,memories/ezgif.com-gif-maker copy 5.gif,,,
ezgif-4-d5c7f96c51,memories/ezgif-4-d5c7f96c51.gif,,,
Screenshot 2022-05-04 at 13.53.06,memories/Screenshot 2022-05-04 at 13.53.06.png,,,
Screenshot 2025-01-17 at 13.01.03_2,memories/Screenshot 2025-01-17 at 13.01.03_2.gif,,,
cDvfyChs6m,memories/cDvfyChs6m.gif,,,
ezgif.com-gif-maker copy 7,memories/ezgif.com-gif-maker copy 7.gif,,,
Screen Shot 2020-02-26 at 18.06.22,memories/Screen Shot 2020-02-26 at 18.06.22.png,,,
root23,memories/root23.gif,,,
0082_0000,memories/0082_0000.gif,,,
MicrosoftTeams-image (9),memories/MicrosoftTeams-image (9).png,,,
red_dress,memories/red_dress.gif,,,
0EzTuw0YTx,memories/0EzTuw0YTx.gif,,,
Video6,memories/Video6.gif,,,
Mxe0Svozm4,memories/Mxe0Svozm4.gif,,,
Screen Shot 2017-11-21 at 16.35.13,memories/Screen Shot 2017-11-21 at 16.35.13.png,,,
Iz8ameisFN copy,memories/Iz8ameisFN copy.gif,,,
Screen Shot 2019-10-11 at 14.05.44,memories/Screen Shot 2019-10-11 at 14.05.44.png,,,
ezgif.com-gif-maker copy 6,memories/ezgif.com-gif-maker copy 6.gif,,,
Screen Shot 2017-07-12 at 14.28.01,memories/Screen Shot 2017-07-12 at 14.28.01.png,,,
0f9d9d,memories/0f9d9d.gif,,,
tumblr_oxqbzm52qk1w3y4ilo1_500,memories/tumblr_oxqbzm52qk1w3y4ilo1_500.gif,,,
ezgif.com-gif-maker copy 2,memories/ezgif.com-gif-maker copy 2.gif,,,
Screen Shot 2018-03-06 at 16.34.15,memories/Screen Shot 2018-03-06 at 16.34.15.png,,,
Screen Shot 2018-05-02 at 14.25.20,memories/Screen Shot 2018-05-02 at 14.25.20.png,,,
Screen Shot 2018-11-27 at 17.44.30,memories/Screen Shot 2018-11-27 at 17.44.30.png,,,
Screen Shot 2017-06-30 at 16.03.50,memories/Screen Shot 2017-06-30 at 16.03.50.png,,,
ezgif-1-ab69bed5e6,memories/ezgif-1-ab69bed5e6.gif,,,
3aml5LTRxC,memories/3aml5LTRxC.gif,,,
Video3,memories/Video3.gif,,,
ezgif-1-e384c6c6e9,memories/ezgif-1-e384c6c6e9.gif,,,
Screenshot 2022-02-08 at 10.24.52,memories/Screenshot 2022-02-08 at 10.24.52.png,,,
ezgif-3-a45abb5892,memories/ezgif-3-a45abb5892.gif,,,
Screen Shot 2017-03-13 at 15.59.52,memories/Screen Shot 2017-03-13 at 15.59.52.png,,,
vid2,memories/vid2.gif,,,
LondonitesSMALL,memories/LondonitesSMALL.gif,,,
Screen Shot 2021-04-28 at 09.00.20,memories/Screen Shot 2021-04-28 at 09.00.20.png,,,
samsung_ad1 2,memories/samsung_ad1 2.gif,,,
Screen Shot 2017-07-13 at 10.06.51,memories/Screen Shot 2017-07-13 at 10.06.51.png,,,
ezgif-1-cebbf02949,memories/ezgif-1-cebbf02949.gif,,,
ezgif.com-gif-maker (3) copy,memories/ezgif.com-gif-maker (3) copy.gif,,,
Screen Shot 2018-01-30 at 18.55.51,memories/Screen Shot 2018-01-30 at 18.55.51.png,,,
Screen Shot 2017-10-02 at 10.01.34,memories/Screen Shot 2017-10-02 at 10.01.34.png,,,
apex_views,memories/apex_views.gif,,,
fnu8QOE2sl,memories/fnu8QOE2sl.gif,,,
0_pPEL7ryJR51VpnDO,memories/0_pPEL7ryJR51VpnDO.gif,,,
Screen Shot 2017-11-29 at 12.27.43,memories/Screen Shot 2017-11-29 at 12.27.43.png,,,
Image (5)--d0,memories/Image (5)--d0.gif,,,
ezgif.com-gif-maker (2) copy 2,memories/ezgif.com-gif-maker (2) copy 2.gif,,,
car_3,memories/car_3.gif,,,
Screen Shot 2017-12-21 at 13.06.13,memories/Screen Shot 2017-12-21 at 13.06.13.png,,,
360.0000_2,memories/360.0000_2.gif,,,
ezgif-2220422113,memories/ezgif-2220422113.gif,,,
hg7dyuXQSl-1,memories/hg7dyuXQSl-1.gif,,,
vid1,memories/vid1.gif,,,
ezgif-5-37504ae676,memories/ezgif-5-37504ae676.gif,,,
1_car,memories/1_car.gif,,,
ezgif-4-3d269fc448,memories/ezgif-4-3d269fc448.gif,,,
Screen Recording 2025-04-11 at 15.43.00,memories/Screen Recording 2025-04-11 at 15.43.00.gif,,,
Screen Shot 2017-06-21 at 17.05.24,memories/Screen Shot 2017-06-21 at 17.05.24.png,,,
ComfyUI_temp_uhpai_00008_,memories/ComfyUI_temp_uhpai_00008_.png,,,
agif3opt,memories/agif3opt.gif,,,
Screen Shot 2019-10-11 at 14.05.31,memories/Screen Shot 2019-10-11 at 14.05.31.png,,,
ComfyUI_temp_hhqde_00019_,memories/ComfyUI_temp_hhqde_00019_.png,,,
ComfyUI_07659_,memories/ComfyUI_07659_.png,,,
ezgif-5-2337f2c46f,memories/ezgif-5-2337f2c46f.gif,,,
ads_1 2,memories/ads_1 2.gif,,,
StarstruckSMALL,memories/StarstruckSMALL.gif,,,
Screenshot 2022-10-07 at 09.14.49,memories/Screenshot 2022-10-07 at 09.14.49.png,,,
H4XKwM07p3,memories/H4XKwM07p3.gif,,,
Screen Shot 2018-06-06 at 14.05.58,memories/Screen Shot 2018-06-06 at 14.05.58.png,,,
tumblr_oyjk1cpdef1w3y4ilo1_500,memories/tumblr_oyjk1cpdef1w3y4ilo1_500.gif,,,
Screen Shot 2019-01-29 at 18.19.56,memories/Screen Shot 2019-01-29 at 18.19.56.png,,,
Screen Shot 2017-06-23 at 10.01.39,memories/Screen Shot 2017-06-23 at 10.01.39.png,,,
Screen Shot 2018-06-29 at 13.20.03,memories/Screen Shot 2018-06-29 at 13.20.03.png,,,
outpaint_1,memories/outpaint_1.gif,,,
canny_res_00725_ (2),memories/canny_res_00725_ (2).png,,,
Screen Shot 2017-06-28 at 13.06.45,memories/Screen Shot 2017-06-28 at 13.06.45.png,,,
MicrosoftTeams-image (1) copy 2,memories/MicrosoftTeams-image (1) copy 2.png,,,
Screen Shot 2018-06-06 at 14.51.27,memories/Screen Shot 2018-06-06 at 14.51.27.png,,,
7b64bb21-d633-42ae-8472-4b24d83af8bb_2,memories/7b64bb21-d633-42ae-8472-4b24d83af8bb_2.gif,,,
A,memories/A.gif,,,
Screenshot 2025-04-04 at 13.28.12,memories/Screenshot 2025-04-04 at 13.28.12.png,,,
Screen Shot 2018-04-16 at 09.54.10,memories/Screen Shot 2018-04-16 at 09.54.10.png,,,
CjbiErUnMd,memories/CjbiErUnMd.gif,,,
Screen Shot 2018-01-22 at 09.36.45,memories/Screen Shot 2018-01-22 at 09.36.45.png,,,
compare_00565_,memories/compare_00565_.png,,,
MicrosoftTeams-image (1) copy,memories/MicrosoftTeams-image (1) copy.png,,,
zFfSiIetNU,memories/zFfSiIetNU.gif,,,
ezgif.com-gif-maker (6),memories/ezgif.com-gif-maker (6).gif,,,
3KZvOv0R0T,memories/3KZvOv0R0T.gif,,,
Robot9,memories/Robot9.png,,,
E6UP9BZpYy,memories/E6UP9BZpYy.gif,,,
Screenshot 2024-03-26 at 12.09.34,memories/Screenshot 2024-03-26 at 12.09.34.png,,,
Screen Shot 2018-06-29 at 13.19.50,memories/Screen Shot 2018-06-29 at 13.19.50.png,,,
ezgif.com-gif-maker (8) copy 3,memories/ezgif.com-gif-maker (8) copy 3.gif,,,
ComfyUI_temp_upnsg_00004_,memories/ComfyUI_temp_upnsg_00004_.png,,,
Screen Shot 2017-11-21 at 16.32.51,memories/Screen Shot 2017-11-21 at 16.32.51.png,,,
agif,memories/agif.gif,,,
Screen Shot 2019-07-05 at 11.47.47,memories/Screen Shot 2019-07-05 at 11.47.47.png,,,
Screen Shot 2019-10-07 at 11.20.56,memories/Screen Shot 2019-10-07 at 11.20.56.png,,,
Screenshot 2024-12-13 at 15.21.58,memories/Screenshot 2024-12-13 at 15.21.58.png,,,
ezgif.com-gif-maker (4) copy,memories/ezgif.com-gif-maker (4) copy.gif,,,
WgYCpKsOkA,memories/WgYCpKsOkA.gif,,,
Rtvp1hG1ux,memories/Rtvp1hG1ux.gif,,,
IbetyouSMALL,memories/IbetyouSMALL.gif,,,
2,memories/2.gif,,,
Screenshot 2025-04-04 at 13.28.03,memories/Screenshot 2025-04-04 at 13.28.03.png,,,
ezgif-4-33f7d76a69b4,memories/ezgif-4-33f7d76a69b4.gif,,,
5WasR8cpEB,memories/5WasR8cpEB.gif,,,
ezgif.com-gif-maker,memories/ezgif.com-gif-maker.gif,,,
Screen Shot 2017-09-20 at 14.24.49,memories/Screen Shot 2017-09-20 at 14.24.49.png,,,
2_car,memories/2_car.gif,,,
kzenLAfUuS,memories/kzenLAfUuS.gif,,,
devil23,memories/devil23.gif,,,
ComfyUI_temp_qpsiv_00011_,memories/ComfyUI_temp_qpsiv_00011_.png,,,
ezgif.com-gif-maker (4) copy 2,memories/ezgif.com-gif-maker (4) copy 2.gif,,,
e3606ca5-22ad-4265-910f-fe3b681e147e_1,memories/e3606ca5-22ad-4265-910f-fe3b681e147e_1.gif,,,
Screen Recording 2025-04-04 at 16.14.00,memories/Screen Recording 2025-04-04 at 16.14.00.gif,,,
Screen Shot 2019-03-07 at 13.29.33,memories/Screen Shot 2019-03-07 at 13.29.33.png,,,
Utah,memories/Utah.png,,,
ComfyUI_temp_otlci_00005_,memories/ComfyUI_temp_otlci_00005_.gif,,,
Screen Recording 2025-04-30 at 14.37.21 2,memories/Screen Recording 2025-04-30 at 14.37.21 2.gif,,,
Screen Shot 2019-03-08 at 10.14.19,memories/Screen Shot 2019-03-08 at 10.14.19.png,,,
oH0HFepE6J,memories/oH0HFepE6J.gif,,,
Screen Shot 2018-03-02 at 12.42.44,memories/Screen Shot 2018-03-02 at 12.42.44.png,,,
Screen Shot 2017-03-13 at 13.40.00,memories/Screen Shot 2017-03-13 at 13.40.00.png,,,
grid,memories/grid.png,,,
ezgif.com-a9c6267023,memories/ezgif.com-a9c6267023.gif,,,
Screen Shot 2019-12-17 at 13.56.57,memories/Screen Shot 2019-12-17 at 13.56.57.png,,,
ezgif-1-7aba9aa83d,memories/ezgif-1-7aba9aa83d.gif,,,
Screen Shot 2017-03-13 at 15.47.03,memories/Screen Shot 2017-03-13 at 15.47.03.png,,,
agif3opt-1,memories/agif3opt-1.gif,,,
agif4opt,memories/agif4opt.gif,,,
Screenshot 2022-10-07 at 09.15.01,memories/Screenshot 2022-10-07 at 09.15.01.png,,,
ezgif.com-optimize (9),memories/ezgif.com-optimize (9).gif,,,
VUriO24H3H,memories/VUriO24H3H.gif,,,
ezgif-4-3018648f603b,memories/ezgif-4-3018648f603b.gif,,,
canny_res_00722_ copy,memories/canny_res_00722_ copy.png,,,
Screenshot 2023-07-10 at 16.00.42,memories/Screenshot 2023-07-10 at 16.00.42.png,,,
bvdgTlCBA8,memories/bvdgTlCBA8.gif,,,
00014-1994718062,memories/00014-1994718062.gif,,,
Robot2,memories/Robot2.png,,,
ezgif.com-gif-maker (8),memories/ezgif.com-gif-maker (8).gif,,,
Screen Shot 2018-01-30 at 18.37.57,memories/Screen Shot 2018-01-30 at 18.37.57.png,,,
Screenshot 2023-07-06 at 15.35.32 2,memories/Screenshot 2023-07-06 at 15.35.32 2.png,,,
Cali,memories/Cali.png,,,
Screen Shot 2018-11-27 at 14.29.44,memories/Screen Shot 2018-11-27 at 14.29.44.png,,,
8yUwEPe1DY,memories/8yUwEPe1DY.gif,,,
Screenshot 2022-02-16 at 13.38.22,memories/Screenshot 2022-02-16 at 13.38.22.png,,,
Screen Shot 2018-06-29 at 13.20.36,memories/Screen Shot 2018-06-29 at 13.20.36.png,,,
interpolateupscale_00535_,memories/interpolateupscale_00535_.png,,,
OJ0IjCgvzh,memories/OJ0IjCgvzh.gif,,,
jwTVVCH9k3,memories/jwTVVCH9k3.gif,,,
ezgif.com-gif-maker (7) copy,memories/ezgif.com-gif-maker (7) copy.gif,,,
FQoM93FEZI,memories/FQoM93FEZI.gif,,,
ezgif-5-038110f52c,memories/ezgif-5-038110f52c.gif,,,
Screenshot 2024-07-15 at 16.24.42,memories/Screenshot 2024-07-15 at 16.24.42.png,,,
Screen Shot 2018-03-02 at 14.12.54,memories/Screen Shot 2018-03-02 at 14.12.54.png,,,
ezgif-1-cb5b0a82e1,memories/ezgif-1-cb5b0a82e1.gif,,,
Screen Shot 2018-02-13 at 13.11.55,memories/Screen Shot 2018-02-13 at 13.11.55.png,,,
Screen Shot 2021-01-21 at 16.01.36,memories/Screen Shot 2021-01-21 at 16.01.36.png,,,
ezgif-3-a3b403bb2055,memories/ezgif-3-a3b403bb2055.gif,,,
ComfyUI_temp_uhpai_00006_,memories/ComfyUI_temp_uhpai_00006_.png,,,
agif4opt copy,memories/agif4opt copy.gif,,,
ezgif.com-59e2d4a303,memories/ezgif.com-59e2d4a303.gif,,,
canny_res_00483_,memories/canny_res_00483_.png,,,
desert_action_5,memories/desert_action_5.gif,,,
ezgif.com-gif-maker (5),memories/ezgif.com-gif-maker (5).gif,,,
ezgif-4-cfbec6c1ce90,memories/ezgif-4-cfbec6c1ce90.gif,,,
k66HI9zR5f,memories/k66HI9zR5f.gif,,,
Screen Shot 2017-11-21 at 16.35.40,memories/Screen Shot 2017-11-21 at 16.35.40.png,,,
Screen Shot 2018-01-19 at 17.52.47,memories/Screen Shot 2018-01-19 at 17.52.47.png,,,
ezgif-3-743099515b,memories/ezgif-3-743099515b.gif,,,
ezgif-3-1f34f33b80,memories/ezgif-3-1f34f33b80.gif,,,
ezgif-4-dd15c85828cc,memories/ezgif-4-dd15c85828cc.gif,,,
Screen Shot 2018-06-29 at 13.20.18,memories/Screen Shot 2018-06-29 at 13.20.18.png,,,
7M0PoD7kcZ,memories/7M0PoD7kcZ.gif,,,
4b514604-836c-4c48-9f67-6fffff309cfe_1,memories/4b514604-836c-4c48-9f67-6fffff309cfe_1.gif,,,
qVRpgNc,memories/qVRpgNc.gif,,,
ezgif.com-gif-maker (9),memories/ezgif.com-gif-maker (9).gif,,,
interpolateupscale_00559_,memories/interpolateupscale_00559_.png,,,
Screen Shot 2017-07-07 at 12.37.50,memories/Screen Shot 2017-07-07 at 12.37.50.png,,,
oV5VJdRQf5,memories/oV5VJdRQf5.gif,,,
0ncpiDJkHR,memories/0ncpiDJkHR.gif,,,
Screen Shot 2017-10-12 at 11.52.02,memories/Screen Shot 2017-10-12 at 11.52.02.png,,,
GamersSMALL,memories/GamersSMALL.gif,,,
9,memories/9.gif,,,
Dw8oMj7ALP,memories/Dw8oMj7ALP.gif,,,
tViaZcZL9h,memories/tViaZcZL9h.gif,,,
B04nFal0mK,memories/B04nFal0mK.gif,,,
ezgif-3-d2bb94ea7e61,memories/ezgif-3-d2bb94ea7e61.gif,,,
download-3,memories/download-3.png,,,
DALL·E 2023-04-17 15.24.38 - a car in a jungle,memories/DALL·E 2023-04-17 15.24.38 - a car in a jungle.png,,,
ezgif.com-gif-maker (2),memories/ezgif.com-gif-maker (2).gif,,,
x61Mk91waq,memories/x61Mk91waq.gif,,,
ezgif-3-1282fcfd5,memories/ezgif-3-1282fcfd5.gif,,,
VhYST0t9I7,memories/VhYST0t9I7.gif,,,
Screen Shot 2018-06-29 at 13.20.55,memories/Screen Shot 2018-06-29 at 13.20.55.png,,,
Image_ed_speech,memories/Image_ed_speech.gif,,,
A 2,memories/A 2.gif,,,
ezgif-1-4103d27971,memories/ezgif-1-4103d27971.gif,,,
adidas2 (1),memories/adidas2 (1).png,,,
localhost_3000_ (8),memories/localhost_3000_ (8).png,,,
Screen Shot 2021-04-27 at 18.02.31,memories/Screen Shot 2021-04-27 at 18.02.31.png,,,
hb0oCs0Xjl,memories/hb0oCs0Xjl.gif,,,
ComfyUI_temp_zaiug_00010_,memories/ComfyUI_temp_zaiug_00010_.png,,,
ezgif-3-6affee1f00,memories/ezgif-3-6affee1f00.gif,,,
Screenshot 2022-05-04 at 13.52.59,memories/Screenshot 2022-05-04 at 13.52.59.png,,,
Unknown,memories/Unknown.gif,,,
Video(,memories/Video(.gif,,,
ezgif-4-3231f59c7f,memories/ezgif-4-3231f59c7f.gif,,,
adsdaf,memories/adsdaf.png,,,
Screen Recording 2025-04-01 at 12.41.30,memories/Screen Recording 2025-04-01 at 12.41.30.gif,,,
922,memories/922.gif,,,
download copy 4,memories/download copy 4.png,,,
Screen Shot 2018-01-30 at 20.43.39,memories/Screen Shot 2018-01-30 at 20.43.39.png,,,
f8MMdMeXSr,memories/f8MMdMeXSr.gif,,,
Screen Shot 2019-12-17 at 16.15.48,memories/Screen Shot 2019-12-17 at 16.15.48.png,,,
9[2],memories/9[2].gif,,,
ezgif-4-c94695b368,memories/ezgif-4-c94695b368.gif,,,
heads2,memories/heads2.gif,,,
ezgif-3-d3a28289fa6a,memories/ezgif-3-d3a28289fa6a.gif,,,
Screen Shot 2017-06-30 at 16.12.34,memories/Screen Shot 2017-06-30 at 16.12.34.png,,,
Screen Shot 2020-01-07 at 15.35.29,memories/Screen Shot 2020-01-07 at 15.35.29.png,,,
Banners_HandlingPack_CityIntroverts,memories/Banners_HandlingPack_CityIntroverts.jpg,,,
DARKtimeperiod1-zoom,memories/DARKtimeperiod1-zoom.png,,,
932,memories/932.gif,,,
Screenshot 2025-03-11 at 09.27.21,memories/Screenshot 2025-03-11 at 09.27.21.png,,,
Screenshot 2025-03-11 at 09.27.09,memories/Screenshot 2025-03-11 at 09.27.09.png,,,
2025-04-02_00022,memories/2025-04-02_00022.gif,,,
4tboYSC3bB,memories/4tboYSC3bB.gif,,,
Screen Recording 2023-08-30 at 11-40-08_1_1,memories/Screen Recording 2023-08-30 at 11-40-08_1_1.gif,,,
image-295 1 (1),memories/image-295 1 (1).png,,,
a5f708e0-8f31-4d22-bc04-89b50cf240ae,memories/a5f708e0-8f31-4d22-bc04-89b50cf240ae.gif,,,
890,memories/890.gif,,,
BrowserPreview_tmp-1,memories/BrowserPreview_tmp-1.gif,,,
Screen Shot 2018-04-17 at 14.15.28,memories/Screen Shot 2018-04-17 at 14.15.28.png,,,
demo,memories/demo.gif,,,
Screen Shot 2019-03-07 at 14.13.16,memories/Screen Shot 2019-03-07 at 14.13.16.png,,,
Screen Shot 2017-07-12 at 14.51.43,memories/Screen Shot 2017-07-12 at 14.51.43.png,,,
Screen Shot 2018-06-29 at 13.20.45,memories/Screen Shot 2018-06-29 at 13.20.45.png,,,
